load_id,customer_id,route_id,load_date,load_type,weight_lbs,pieces,revenue,fuel_surcharge,accessorial_charges,load_status,booking_type
LOAD00000001,CUST00183,RTE00019,2022-01-01,Dry Van,19178,13,3045.23,406.72,100,Completed,Spot
LOAD00000002,CUST00076,RTE00058,2022-01-01,Dry Van,27761,22,1224.48,98.61,0,Completed,Dedicated
LOAD00000003,CUST00027,RTE00048,2022-01-01,Refrigerated,35594,16,7171.12,792.88,0,Completed,Spot
LOAD00000004,CUST00088,RTE00013,2022-01-01,Refrigerated,33274,10,1308.2,141.33,50,Completed,Spot
LOAD00000005,CUST00185,RTE00020,2022-01-01,Dry Van,40257,10,3317.18,738.48,0,Completed,Spot
LOAD00000006,CUST00193,RTE00004,2022-01-01,Refrigerated,34671,10,3582.78,383.23,75,Completed,Spot
LOAD00000007,CUST00169,RTE00038,2022-01-01,Dry Van,14530,4,3872.46,314.64,150,Completed,Contract
LOAD00000008,CUST00049,RTE00016,2022-01-01,Refrigerated,16927,26,5914.9,463.93,100,Completed,Spot
LOAD00000009,CUST00075,RTE00025,2022-01-01,Refrigerated,38964,3,4759.42,565.38,150,Completed,Dedicated
LOAD00000010,CUST00079,RTE00025,2022-01-01,Refrigerated,29233,8,5723.39,565.38,50,Completed,Dedicated
LOAD00000011,CUST00127,RTE00058,2022-01-01,Refrigerated,34882,20,1206.59,98.61,0,Completed,Contract
LOAD00000012,CUST00052,RTE00052,2022-01-01,Refrigerated,38553,17,1248.4,273.36,75,Completed,Spot
LOAD00000013,CUST00168,RTE00002,2022-01-01,Dry Van,40675,1,1541.78,153.34,50,Completed,Dedicated
LOAD00000014,CUST00049,RTE00032,2022-01-01,Refrigerated,32114,12,4948.67,451.8,75,Completed,Dedicated
LOAD00000015,CUST00089,RTE00006,2022-01-01,Dry Van,11712,24,1286.22,189.0,50,Completed,Dedicated
LOAD00000016,CUST00032,RTE00015,2022-01-01,Refrigerated,24063,5,224.7,13.8,0,Completed,Dedicated
